No.,Player Name,Position,Player_ID,Year,Country_Name,Nationality,Age,Height,Total Points,Average by Match,Attack Points,Efficiency,Attack Avg Points,Block Points,Block Success,Block Avg Points,Serve Points,Serve Success,Serve Avg Points
25.0,Grills Sydney,O,189156,2022,Canada,Canada,23.0,192,3,0.25,1,12.50%,0.08,0,0.00%,0.00,2,20.00%,0.17
,Shannon Winzer,COACH,N/A,2022,Canada,,,,,,,,,,,,,,
1.0,Yuan Xinyue,MB,135746,2022,China,China,26.0,202,121,9.31,81,45.51%,6.23,30,16.30%,2.31,10,5.52%,0.77
3.0,Diao Linyu,S,162354,2022,China,China,28.0,183,24,2.40,10,58.82%,1.00,10,15.62%,1.00,4,3.51%,0.40
4.0,Yang Hanyu,MB,152337,2022,China,China,23.0,196,6,0.46,4,44.44%,0.31,1,16.67%,0.08,1,16.67%,0.08
5.0,Gao Yi,MB,152332,2022,China,China,24.0,194,0,-,0,-,-,0,-,-,0,-,-
6.0,Gong Xiangyu,O,143206,2022,China,China,25.0,189,199,15.31,171,48.86%,13.15,18,20.93%,1.38,10,5.21%,0.77
7.0,Wang Yuanyuan,MB,143201,2022,China,China,25.0,196,125,9.62,88,57.14%,6.77,33,22.15%,2.54,4,2.56%,0.31
8.0,Jin Ye,OH,152917,2022,China,China,27.0,189,59,4.54,50,37.04%,3.85,7,20.00%,0.54,2,1.85%,0.15
10.0,Wang Yunlu,OH,135740,2022,China,China,26.0,191,53,4.08,39,27.27%,3.00,8,25.81%,0.62,6,5.61%,0.46
11.0,Wang Yizhu,OH,172644,2022,China,China,22.0,190,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
12.0,Li Yingying,OH,152318,2022,China,China,23.0,192,248,19.08,217,47.38%,16.69,18,19.57%,1.38,13,7.34%,1.00
13.0,Cai Yaqian,S,152326,2022,China,China,24.0,179,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
14.0,Zheng Yixin,O,135742,2022,China,China,27.0,189,0,0.00,0,0.00%,0.00,0,0.00%,0.00,0,0.00%,0.00
15.0,Wang Weiyi,L,150705,2022,China,China,27.0,175,0,0.00,0,-,-,0,-,-,0,-,-
16.0,Ding Xia,S,124130,2022,China,China,33.0,180,13,1.00,5,31.25%,0.38,5,13.51%,0.38,3,4.17%,0.23
17.0,Ni Feifan,L,163909,2022,China,China,22.0,177,0,0.00,0,-,-,0,-,-,0,-,-
18.0,Miao Yiwen,O,173642,2022,China,China,22.0,187,0,0.00,0,0.00%,0.00,0,-,-,0,0.00%,0.00
19.0,Chen Peiyan,O,162977,2022,China,China,23.0,195,2,0.22,1,20.00%,0.11,1,50.00%,0.11,0,0.00%,0.00
20.0,Wu Mengjie,OH,175119,2022,China,China,20.0,189,-,-,-,-,-,-,-,-,-,-,-
21.0,Wang Yifan,OH,189173,2022,China,China,18.0,188,-,-,-,-,-,-,-,-,-,-,-
22.0,Xu Jianan,L,152329,2022,China,China,24.0,167,-,-,-,-,-,-,-,-,-,-,-
23.0,Wang Mengjie,L,135745,2022,China,China,27.0,173,-,-,-,-,-,-,-,-,-,-,-
24.0,Zhong Hui,OH,152920,2022,China,China,25.0,184,-,-,-,-,-,-,-,-,-,-,-
25.0,Du Qingqing,OH,143198,2022,China,China,26.0,189,-,-,-,-,-,-,-,-,-,-,-
26.0,Wang Wenhan,MB,175121,2022,China,China,20.0,191,-,-,-,-,-,-,-,-,-,-,-
,BIN CAI,COACH,N/A,2022,China,,,,,,,,,,,,,,
2.0,Rodriguez Duran Yaneirys,L,158817,2022,Dominican Republic,Dominican Republic,22.0,171,0,0.00,0,-,-,0,-,-,0,-,-
3.0,Rabit Esthefany,L,168727,2022,Dominican Republic,Dominican Republic,21.0,190,2,0.25,1,33.33%,0.12,1,50.00%,0.12,0,0.00%,0.00
4.0,Peralta Luna Vielka Michelle,OH,151087,2022,Dominican Republic,Dominican Republic,23.0,186,41,3.42,37,33.04%,3.08,2,14.29%,0.17,2,4.08%,0.17
5.0,Castillo Brenda,L,119039,2022,Dominican Republic,Dominican Republic,30.0,167,-,-,-,-,-,-,-,-,-,-,-
6.0,Dominguez Martinez Camil Inmaculada,S,119545,2022,Dominican Republic,Dominican Republic,31.0,176,1,0.08,1,33.33%,0.08,0,0.00%,0.00,0,0.00%,0.00
7.0,Marte Frica Niverka Dharlenis,S,119585,2022,Dominican Republic,Dominican Republic,32.0,178,18,1.50,11,28.95%,0.92,3,5.17%,0.25,4,3.12%,0.33
9.0,Hinojosa Diaz Angelica Maria,MB,143961,2022,Dominican Republic,Dominican Republic,26.0,186,13,1.08,4,28.57%,0.33,8,44.44%,0.67,1,3.45%,0.08
12.0,Perez Javier Yokaty,S,139912,2022,Dominican Republic,Dominican Republic,24.0,178,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
13.0,Matos Duran Massiel,OH,139911,2022,Dominican Republic,Dominican Republic,24.0,188,2,0.50,2,33.33%,0.50,0,0.00%,0.00,0,0.00%,0.00
15.0,Guillen Paredes Madeline Jazmin,OH,149531,2022,Dominican Republic,Dominican Republic,21.0,186,26,3.25,25,35.71%,3.12,1,12.50%,0.12,0,0.00%,0.00
16.0,Peña Isabel Yonkaira Paola,OH,123978,2022,Dominican Republic,Dominican Republic,29.0,190,180,15.00,159,37.86%,13.25,11,21.15%,0.92,10,6.13%,0.83
17.0,Mambru Casilla Gina Altagracia,O,115391,2022,Dominican Republic,Dominican Republic,37.0,182,5,0.62,5,27.78%,0.62,0,0.00%,0.00,0,0.00%,0.00
18.0,De La Cruz De Peña Bethania,OH,114294,2022,Dominican Republic,Dominican Republic,35.0,188,-,-,-,-,-,-,-,-,-,-,-
19.0,Arias Perez Candida Estefany,MB,119224,2022,Dominican Republic,Dominican Republic,31.0,194,-,-,-,-,-,-,-,-,-,-,-
20.0,Martinez Brayelin Elizabeth,OH,123982,2022,Dominican Republic,Dominican Republic,26.0,201,109,9.08,100,41.15%,8.33,7,15.22%,0.58,2,2.08%,0.17
21.0,Martinez Jineiry,MB,139910,2022,Dominican Republic,Dominican Republic,25.0,192,98,8.17,67,44.08%,5.58,26,22.22%,2.17,5,3.65%,0.42
22.0,Caraballo Arias Samaret Jailene,OH,162342,2022,Dominican Republic,Dominican Republic,23.0,179,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
23.0,Gonzalez Lopez Gaila Ceneida,O,139927,2022,Dominican Republic,Dominican Republic,25.0,190,154,12.83,126,38.30%,10.50,19,25.33%,1.58,9,6.57%,0.75
24.0,Gonzalez Geraldine Sthefany,MB,149530,2022,Dominican Republic,Dominican Republic,20.0,200,42,3.50,26,40.00%,2.17,15,19.74%,1.25,1,1.01%,0.08
25.0,Martinez Caro Larysmer,L,139913,2022,Dominican Republic,Dominican Republic,26.0,174,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
,Marcos Kwiek,COACH,N/A,2022,Dominican Republic,,,,,,,,,,,,,,
1.0,Bock Linda,L,152140,2022,Germany,Germany,22.0,172,1,0.12,1,100%,0.12,0,-,-,0,0.00%,0.00
2.0,Kästner Pia,S,150973,2022,Germany,Germany,24.0,182,18,1.50,10,47.62%,0.83,1,2.44%,0.08,7,6.19%,0.58
4.0,Pogany Anna,L,136671,2022,Germany,Germany,28.0,170,0,0.00,0,-,-,0,-,-,0,-,-
5.0,Glaab Corina,S,163661,2022,Germany,Germany,22.0,180,3,0.25,1,25.00%,0.08,1,7.69%,0.08,1,1.89%,0.08
6.0,Janiska Jennifer,OH,123911,2022,Germany,Germany,28.0,184,56,4.67,49,28.65%,4.08,2,10.00%,0.17,5,4.39%,0.42
7.0,Vanjak Ivana,OH,168102,2022,Germany,Germany,27.0,193,52,4.33,43,31.16%,3.58,5,23.81%,0.42,4,11.11%,0.33
9.0,Alsmeier Lina,OH,163658,2022,Germany,Germany,22.0,189,130,11.82,111,42.05%,10.09,8,28.57%,0.73,11,8.87%,1.00
10.0,Stigrot Lena,OH,144980,2022,Germany,Germany,28.0,184,97,8.08,85,35.12%,7.08,11,25.00%,0.92,1,0.86%,0.08
12.0,Orthmann Hanna,OH,151016,2022,Germany,Germany,24.0,-,181,15.08,163,42.34%,13.58,9,23.08%,0.75,9,7.69%,0.75
13.0,Hippe Saskia,O,118954,2022,Germany,Germany,32.0,186,24,2.00,20,39.22%,1.67,1,16.67%,0.08,3,6.82%,0.25
14.0,Schölzel Marie,MB,150812,2022,Germany,Germany,25.0,190,68,5.67,53,49.53%,4.42,10,11.24%,0.83,5,5.05%,0.42
15.0,Lohmann Elisa,L,151014,2022,Germany,Germany,24.0,175,-,-,-,-,-,-,-,-,-,-,-
16.0,Ambrosius Lea,MB,163989,2022,Germany,Germany,22.0,189,-,-,-,-,-,-,-,-,-,-,-
19.0,Dreblow Sophie,L,151021,2022,Germany,Germany,24.0,167,-,-,-,-,-,-,-,-,-,-,-
21.0,Weitzel Camilla,MB,153929,2022,Germany,Germany,22.0,195,120,10.00,87,47.54%,7.25,23,20.54%,1.92,10,5.56%,0.83
22.0,Strubbe Monique,MB,182628,2022,Germany,Germany,21.0,189,1,0.08,1,33.33%,0.08,0,0.00%,0.00,0,0.00%,0.00
23.0,Straube Sarah,S,181272,2022,Germany,Germany,20.0,185,0,0.00,0,-,-,0,0.00%,0.00,0,-,-
24.0,Cekulaev Anastasia,MB,177765,2022,Germany,Germany,19.0,187,29,2.42,25,59.52%,2.08,2,12.50%,0.17,2,6.06%,0.17
25.0,Agbortabi Vanessa,OH,151011,2022,Germany,Germany,24.0,181,-,-,-,-,-,-,-,-,-,-,-
28.0,Cesar Annie,L,158238,2022,Germany,Germany,25.0,173,-,-,-,-,-,-,-,-,-,-,-
29.0,Leweling Pia,OH,151017,2022,Germany,Germany,25.0,182,-,-,-,-,-,-,-,-,-,-,-
30.0,Fernau Pia,S,189214,2022,Germany,Germany,20.0,181,-,-,-,-,-,-,-,-,-,-,-
35.0,van Clewe Luisa,MB,189215,2022,Germany,Germany,20.0,193,-,-,-,-,-,-,-,-,-,-,-
38.0,Barthel Meghan,S,189213,2022,Germany,Germany,23.0,179,-,-,-,-,-,-,-,-,-,-,-
44.0,Emonts Laura,OH,119316,2022,Germany,Germany,31.0,180,-,-,-,-,-,-,-,-,-,-,-
,Vital Heynen,COACH,N/A,2022,Germany,,,,,,,,,,,,,,
1.0,Lubian Marina,MB,151658,2022,Italy,Italy,22.0,193,25,1.67,15,50.00%,1.00,4,16.67%,0.27,6,7.41%,0.40
2.0,Bosio Francesca,S,151986,2022,Italy,Italy,25.0,-,3,0.38,0,0.00%,0.00,3,30.00%,0.38,0,0.00%,0.00
3.0,Gennari Alessia,OH,118764,2022,Italy,Italy,31.0,184,35,3.18,31,37.80%,2.82,3,14.29%,0.27,1,2.00%,0.09
4.0,Bonifacio Sara,MB,142391,2022,Italy,Italy,26.0,-,45,3.00,32,53.33%,2.13,13,24.53%,0.87,0,0.00%,0.00
5.0,Malinov Ofelia,S,143371,2022,Italy,Italy,27.0,182,31,2.07,16,51.61%,1.07,14,20.90%,0.93,1,0.88%,0.07
6.0,De Gennaro Monica,L,115478,2022,Italy,Italy,36.0,174,0,0.00,0,-,-,0,-,-,0,-,-
7.0,Fersino Eleonora,L,173402,2022,Italy,Italy,23.0,-,0,0.00,0,-,-,0,-,-,0,-,-
8.0,Orro Alessia,S,150441,2022,Italy,Italy,24.0,178,11,1.57,7,46.67%,1.00,1,4.76%,0.14,3,3.33%,0.43
9.0,Bosetti Caterina Chiara,OH,123744,2022,Italy,Italy,29.0,-,72,10.29,58,47.15%,8.29,6,25.00%,0.86,8,8.25%,1.14
10.0,Chirichella Cristina,MB,136690,2022,Italy,Italy,29.0,-,89,5.93,66,47.14%,4.40,17,14.17%,1.13,6,3.90%,0.40
11.0,Danesi Anna,MB,136694,2022,Italy,Italy,26.0,-,74,6.73,43,53.75%,3.91,27,28.42%,2.45,4,4.08%,0.36
12.0,Guerra Anastasia,OH,143393,2022,Italy,Italy,26.0,183,18,4.50,18,54.55%,4.50,0,0.00%,0.00,0,0.00%,0.00
13.0,Battistoni Ilaria,S,180478,2022,Italy,Italy,26.0,174,-,-,-,-,-,-,-,-,-,-,-
14.0,Pietrini Elena,OH,156104,2022,Italy,Italy,23.0,188,54,7.71,44,48.35%,6.29,8,32.00%,1.14,2,3.23%,0.29
15.0,Nwakalor Sylvia Chinelo,O,151664,2022,Italy,Italy,23.0,176,123,8.20,110,44.90%,7.33,12,25.00%,0.80,1,1.15%,0.07
16.0,D'Odorico Sofia,OH,143391,2022,Italy,Italy,26.0,186,0,0.00,0,0.00%,0.00,0,-,-,0,-,-
17.0,Sylla Myriam Fatime,OH,136701,2022,Italy,Italy,28.0,184,32,2.91,27,36.99%,2.45,4,30.77%,0.36,1,3.23%,0.09
18.0,Egonu Paola Ogechi,O,150840,2022,Italy,Italy,24.0,193,211,19.18,184,49.07%,16.73,14,25.00%,1.27,13,11.50%,1.18
19.0,Squarcini Federica,MB,173917,2022,Italy,Italy,22.0,181,-,-,-,-,-,-,-,-,-,-,-
20.0,Panetoni Sara,L,163627,2022,Italy,Italy,22.0,175,-,-,-,-,-,-,-,-,-,-,-
21.0,Degradi Alice Carlotta,OH,143370,2022,Italy,Italy,26.0,182,122,10.17,108,46.75%,9.00,8,17.78%,0.67,6,4.80%,0.50
22.0,Enweonwu Nkemdilim Ruth Terry,O,163061,2022,Italy,Italy,22.0,187,1,0.25,1,20.00%,0.25,0,-,-,0,0.00%,0.00
23.0,Perinelli Elena,OH,136697,2022,Italy,Italy,27.0,182,30,7.50,26,39.39%,6.50,2,13.33%,0.50,2,5.13%,0.50
24.0,Mazzaro Alessia,MB,151661,2022,Italy,Italy,24.0,184,10,2.50,6,37.50%,1.50,3,33.33%,0.75,1,6.25%,0.25
25.0,Omoruyi Oghosasere Loveth,OH,173730,2022,Italy,Italy,20.0,184,-,-,-,-,-,-,-,-,-,-,-
,Davide Mazzanti,COACH,N/A,2022,Italy,,,,,,,,,,,,,,
1.0,Moriya Akane,L,168062,2022,Japan,Japan,32.0,165,0,0.00,0,-,-,0,-,-,0,-,-
2.0,Uchiseto Mami,L,146207,2022,Japan,Japan,31.0,172,47,3.62,41,36.61%,3.15,1,7.14%,0.08,5,7.14%,0.38
3.0,Nishida Sarina,OH,143437,2022,Japan,Japan,26.0,180,256,19.69,234,40.91%,18.00,18,28.12%,1.38,4,2.37%,0.31
4.0,Ishikawa Mayu,OH,162218,2022,Japan,Japan,22.0,174,69,5.31,60,38.22%,4.62,2,11.11%,0.15,7,6.93%,0.54
5.0,Shimamura Haruyo,MB,141953,2022,Japan,Japan,31.0,182,69,5.31,53,37.32%,4.08,11,13.75%,0.85,5,4.50%,0.38
7.0,Shibata Mika,S,152457,2022,Japan,Japan,28.0,171,-,-,-,-,-,-,-,-,-,-,-
8.0,Miyashita Haruka,S,132100,2022,Japan,Japan,28.0,176,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
9.0,Kojima Manami,L,142367,2022,Japan,Japan,28.0,158,0,0.00,0,-,-,0,-,-,0,-,-
10.0,Inoue Arisa,OH,142372,2022,Japan,Japan,27.0,178,154,11.85,135,36.49%,10.38,11,22.92%,0.85,8,6.02%,0.62
13.0,Kaneda Shuka,OH,181174,2022,Japan,Japan,26.0,177,-,-,-,-,-,-,-,-,-,-,-
14.0,Okumu Oba Fuyumi Hawi,OH,162877,2022,Japan,Japan,24.0,178,2,0.50,2,50.00%,0.50,0,-,-,0,-,-
15.0,Hayashi Kotona,OH,151953,2022,Japan,Japan,23.0,173,109,8.38,99,43.04%,7.62,4,7.69%,0.31,6,4.96%,0.46
19.0,Yamada Nichika,MB,162227,2022,Japan,Japan,23.0,184,23,2.56,18,36.00%,2.00,2,5.71%,0.22,3,5.36%,0.33
22.0,Fukudome Satomi,L,189198,2022,Japan,Japan,25.0,162,-,-,-,-,-,-,-,-,-,-,-
23.0,Yokota Mami,MB,189040,2022,Japan,Japan,25.0,177,16,4.00,11,47.83%,2.75,4,12.50%,1.00,1,2.38%,0.25
24.0,Matsui Tamaki,S,162876,2022,Japan,Japan,25.0,170,12,0.92,10,55.56%,0.77,0,0.00%,0.00,2,2.86%,0.15
25.0,Ogawa Erina,MB,163046,2022,Japan,Japan,24.0,178,45,3.46,37,38.14%,2.85,3,6.82%,0.23,5,6.02%,0.38
26.0,Miyabe Airi,OH,146519,2022,Japan,Japan,24.0,181,11,2.75,8,24.24%,2.00,2,66.67%,0.50,1,9.09%,0.25
28.0,Hamamatsu Asuka,MB,161807,2022,Japan,Japan,24.0,181,12,2.40,10,33.33%,2.00,2,20.00%,0.40,0,0.00%,0.00
30.0,Seki Nanami,S,151944,2022,Japan,Japan,23.0,171,10,0.77,7,50.00%,0.54,0,0.00%,0.00,3,2.73%,0.23
32.0,Nakagawa Miyu,OH,151955,2022,Japan,Japan,23.0,183,-,-,-,-,-,-,-,-,-,-,-
35.0,Hirayama Shion,MB,162215,2022,Japan,Japan,22.0,180,-,-,-,-,-,-,-,-,-,-,-
37.0,Miyabe Ameze,OH,162225,2022,Japan,Japan,21.0,173,-,-,-,-,-,-,-,-,-,-,-
38.0,Sato Yoshino,OH,189193,2022,Japan,Japan,21.0,177,13,1.44,11,33.33%,1.22,0,0.00%,0.00,2,6.06%,0.22
39.0,Asano Nanami,MB,174228,2022,Japan,Japan,20.0,183,-,-,-,-,-,-,-,-,-,-,-
,Masayoshi MANABE,COACH,N/A,2022,Japan,,,,,,,,,,,,,,
1.0,Yoo Seo Yeun,OH,151962,2022,Korea,Korea,24.0,174,-,-,-,-,-,-,-,-,-,-,-
2.0,Kim Ha Kyung,S,189225,2022,Korea,Korea,26.0,174,-,-,-,-,-,-,-,-,-,-,-
3.0,Yeum Hye Seon,S,120148,2022,Korea,Korea,32.0,176,13,1.08,4,25.00%,0.33,0,0.00%,0.00,9,6.77%,0.75
4.0,Han Dahye,L,181150,2022,Korea,Korea,28.0,164,0,0.00,0,-,-,0,-,-,0,-,-
5.0,Noh Ran,L,135948,2022,Korea,Korea,29.0,166,0,0.00,0,-,-,0,-,-,0,-,-
6.0,Lee Seonwoo,O,175172,2022,Korea,Korea,20.0,183,40,5.71,30,24.59%,4.29,3,15.79%,0.43,7,18.42%,1.00
7.0,Kang Sohwi,OH,156286,2022,Korea,Korea,25.0,180,86,7.17,72,30.38%,6.00,10,25.64%,0.83,4,4.26%,0.33
8.0,Jung Hoyoung,MB,168184,2022,Korea,Korea,21.0,190,45,5.62,32,42.11%,4.00,12,18.75%,1.50,1,1.47%,0.12
9.0,Lee Juah,MB,163760,2022,Korea,Korea,22.0,185,45,4.50,31,35.23%,3.10,12,26.67%,1.20,2,2.82%,0.20
10.0,Go Yerim,OH,147380,2022,Korea,Korea,28.0,177,19,1.58,18,37.50%,1.50,0,0.00%,0.00,1,4.76%,0.08
11.0,Park Hyemin,OH,163836,2022,Korea,Korea,22.0,181,0,0.00,0,0.00%,0.00,0,0.00%,0.00,0,0.00%,0.00
12.0,Lee Dahyeon,MB,163822,2022,Korea,Korea,21.0,185,62,5.17,45,38.14%,3.75,11,16.92%,0.92,6,7.69%,0.50
13.0,Park Jeongah,OH,131893,2022,Korea,Korea,29.0,187,92,7.67,83,28.92%,6.92,8,29.63%,0.67,1,1.20%,0.08
14.0,Jeong Jiyun,OH,163832,2022,Korea,Korea,22.0,180,-,-,-,-,-,-,-,-,-,-,-
15.0,Hwang Minkyoung,OH,119479,2022,Korea,Korea,32.0,174,22,1.83,19,29.69%,1.58,2,25.00%,0.17,1,3.03%,0.08
16.0,Lee Hanbi,OH,189224,2022,Korea,Korea,26.0,177,37,3.08,36,33.64%,3.00,1,9.09%,0.08,0,0.00%,0.00
17.0,Park Haejin,S,175165,2022,Korea,Korea,20.0,177,0,0.00,0,0.00%,0.00,0,0.00%,0.00,0,-,-
18.0,Choi Jeongmin,MB,175176,2022,Korea,Korea,20.0,179,0,-,0,-,-,0,-,-,0,-,-
19.0,Kim Heejin,O,119484,2022,Korea,Korea,31.0,185,54,4.50,48,29.09%,4.00,5,16.13%,0.42,1,2.17%,0.08
20.0,Han Sujin,L,151985,2022,Korea,Korea,23.0,166,-,-,-,-,-,-,-,-,-,-,-
21.0,KIM Chaeyeon,MB,168183,2022,Korea,Korea,23.0,183,-,-,-,-,-,-,-,-,-,-,-
22.0,An Hyejin,S,151959,2022,Korea,Korea,25.0,175,0,0.00,0,0.00%,0.00,0,-,-,0,0.00%,0.00
23.0,Park Eunjin,MB,168185,2022,Korea,Korea,23.0,187,-,-,-,-,-,-,-,-,-,-,-
24.0,NA Hyunsoo,O,168182,2022,Korea,Korea,23.0,183,-,-,-,-,-,-,-,-,-,-,-
25.0,Moon Myounghwa,MB,153111,2022,Korea,Korea,27.0,189,-,-,-,-,-,-,-,-,-,-,-
,Cesar Hernandez Gonzalez,COACH,N/A,2022,Korea,,,,,,,,,,,,,,
1.0,Knip Kirsten,L,124071,2022,Netherlands,Netherlands,30.0,175,-,-,-,-,-,-,-,-,-,-,-
2.0,Savelkoel Fleur,OH,150828,2022,Netherlands,Netherlands,27.0,184,124,10.33,102,36.43%,8.50,16,41.03%,1.33,6,4.92%,0.50
3.0,van Der Mark Marieke,O,189046,2022,Netherlands,Netherlands,24.0,196,-,-,-,-,-,-,-,-,-,-,-
4.0,Plak Celeste,O,142880,2022,Netherlands,Netherlands,27.0,190,123,10.25,111,42.53%,9.25,10,26.32%,0.83,2,2.38%,0.17
5.0,Knollema Jolien,OH,167482,2022,Netherlands,Netherlands,20.0,189,25,2.08,21,32.81%,1.75,3,27.27%,0.25,1,6.67%,0.08
7.0,Lohuis Juliet,MB,151194,2022,Netherlands,Netherlands,26.0,190,110,9.17,75,49.02%,6.25,25,19.53%,2.08,10,6.94%,0.83
8.0,Korevaar Demi,MB,167777,2022,Netherlands,Netherlands,22.0,187,0,-,0,-,-,0,-,-,0,-,-
9.0,Schoot Myrthe,L,123468,2022,Netherlands,Netherlands,34.0,182,0,0.00,0,-,-,0,-,-,0,-,-
10.0,van Aalen Sarah,S,162356,2022,Netherlands,Netherlands,23.0,186,0,0.00,0,-,-,0,0.00%,0.00,0,0.00%,0.00
11.0,Buijs Anne,OH,120503,2022,Netherlands,Netherlands,31.0,-,114,14.25,108,37.11%,13.50,5,13.89%,0.62,1,0.93%,0.12
12.0,Bongaerts Britt,S,147432,2022,Netherlands,Netherlands,26.0,185,19,1.58,10,29.41%,0.83,4,5.71%,0.33,5,3.18%,0.42
13.0,de Haan Jolijn,O,176465,2022,Netherlands,Netherlands,20.0,184,-,-,-,-,-,-,-,-,-,-,-
14.0,Dijkema Laura,S,124070,2022,Netherlands,Netherlands,33.0,184,0,0.00,0,-,-,0,0.00%,0.00,0,0.00%,0.00
16.0,Baijens Indy,MB,168148,2022,Netherlands,Netherlands,22.0,193,4,0.33,3,33.33%,0.25,1,100%,0.08,0,0.00%,0.00
17.0,Vos Iris,OH,181648,2022,Netherlands,Netherlands,20.0,184,0,-,0,-,-,0,-,-,0,-,-
18.0,Jasper Marrit,OH,159904,2022,Netherlands,Netherlands,27.0,180,43,3.58,37,29.84%,3.08,4,19.05%,0.33,2,2.25%,0.17
19.0,Daalderop Nika,OH,150809,2022,Netherlands,Netherlands,24.0,189,0,-,0,-,-,0,-,-,0,-,-
20.0,Polder Tessa,MB,150808,2022,Netherlands,Netherlands,25.0,189,-,-,-,-,-,-,-,-,-,-,-
21.0,Stuut Britte,MB,181647,2022,Netherlands,Netherlands,20.0,198,-,-,-,-,-,-,-,-,-,-,-
23.0,Timmerman Eline,MB,172894,2022,Netherlands,Netherlands,24.0,192,121,10.08,78,49.68%,6.50,36,20.93%,3.00,7,3.98%,0.58
24.0,de Zwart Laura,MB,162357,2022,Netherlands,Netherlands,24.0,199,0,-,0,-,-,0,-,-,0,-,-
25.0,Reesink Florien,L,148581,2022,Netherlands,Netherlands,24.0,174,1,0.08,1,33.33%,0.08,0,-,-,0,-,-
26.0,Dambrink Elles,O,181248,2022,Netherlands,Netherlands,19.0,184,91,7.58,79,36.92%,6.58,8,20.00%,0.67,4,4.35%,0.33
27.0,Scholten Iris,O,162372,2022,Netherlands,Netherlands,23.0,191,-,-,-,-,-,-,-,-,-,-,-
29.0,Boonstra Famke,OH,181249,2022,Netherlands,Netherlands,21.0,190,-,-,-,-,-,-,-,-,-,-,-
,Avital Selinger,COACH,N/A,2022,Netherlands,,,,,,,,,,,,,,
1.0,Stenzel Maria,L,152233,2022,Poland,Poland,24.0,168,0,0.00,0,-,-,0,-,-,0,-,-
2.0,Obiała Anna,MB,172984,2022,Poland,Poland,27.0,187,14,3.50,10,33.33%,2.50,2,9.09%,0.50,2,4.88%,0.50
3.0,Alagierska-Szczepaniak Klaudia,MB,162398,2022,Poland,Poland,27.0,190,32,4.00,22,50.00%,2.75,9,22.50%,1.12,1,1.85%,0.12
5.0,Korneluk Agnieszka,MB,136317,2022,Poland,Poland,28.0,200,68,8.50,40,48.19%,5.00,20,24.39%,2.50,8,8.42%,1.00
6.0,Witkowska Kamila,MB,156479,2022,Poland,Poland,31.0,191,34,4.25,24,55.81%,3.00,9,26.47%,1.12,1,2.17%,0.12
7.0,Łazowska Martyna,S,173996,2022,Poland,Poland,20.0,176,-,-,-,-,-,-,-,-,-,-,-
8.0,Gorecka Zuzanna,OH,152223,2022,Poland,Poland,22.0,181,51,4.25,46,36.22%,3.83,3,11.11%,0.25,2,2.35%,0.17
9.0,Stysiak Magdalena,O,152217,2022,Poland,Poland,22.0,203,-,-,-,-,-,-,-,-,-,-,-
10.0,Fedusio Monika,OH,152231,2022,Poland,Poland,23.0,183,22,1.83,20,35.71%,1.67,2,16.67%,0.17,0,0.00%,0.00
11.0,Lukasik Martyna,OH,163098,2022,Poland,Poland,23.0,189,80,6.67,73,41.71%,6.08,3,12.00%,0.25,4,4.65%,0.33
12.0,Szczyglowska Aleksandra,OH,185609,2022,Poland,Poland,25.0,172,0,0.00,0,-,-,0,-,-,0,-,-
14.0,Wolosz Joanna,S,118591,2022,Poland,Poland,32.0,181,21,1.75,6,33.33%,0.50,8,14.81%,0.67,7,5.69%,0.58
15.0,Czyrnianska Martyna,OH,181268,2022,Poland,Poland,19.0,191,113,14.12,96,35.56%,12.00,8,26.67%,1.00,9,8.57%,1.12
16.0,Lysiak Justyna,L,152232,2022,Poland,Poland,24.0,173,-,-,-,-,-,-,-,-,-,-,-
17.0,Piasecka Julita,OH,173994,2022,Poland,Poland,20.0,189,-,-,-,-,-,-,-,-,-,-,-
18.0,Gryka Aleksandra,MB,163097,2022,Poland,Poland,23.0,190,47,3.92,38,50.00%,3.17,5,12.50%,0.42,4,7.27%,0.33
19.0,Wasilewska Iga,MB,136321,2022,Poland,Poland,28.0,183,-,-,-,-,-,-,-,-,-,-,-
21.0,Grabka Alicja,S,156480,2022,Poland,Poland,24.0,178,6,0.75,1,33.33%,0.12,4,26.67%,0.50,1,3.45%,0.12
22.0,Szlagowska Weronika,OH,164107,2022,Poland,Poland,21.0,188,73,6.08,56,33.33%,4.67,12,26.67%,1.00,5,6.58%,0.42
23.0,Druzkowska Karolina,OH,181267,2022,Poland,Poland,21.0,194,-,-,-,-,-,-,-,-,-,-,-
24.0,Damaske Paulina,OH,164104,2022,Poland,Poland,21.0,180,-,-,-,-,-,-,-,-,-,-,-
25.0,Sobiczewska Weronika,O,152222,2022,Poland,Poland,23.0,184,-,-,-,-,-,-,-,-,-,-,-
26.0,Wenerska Katarzyna,S,181263,2022,Poland,Poland,30.0,180,5,0.62,2,66.67%,0.25,1,14.29%,0.12,2,5.56%,0.25
30.0,Rozanski Olivia,OH,151231,2022,Poland,Poland,25.0,185,169,14.08,148,35.92%,12.33,19,25.68%,1.58,2,2.04%,0.17
